,Direction,Pathways,statistic,nGenes,adj.Pval,Genes
Ribosome ,Down,Ribosome ,-15.8978,224,4.90E-43,Rpl10a Abcf1 Mrps18b Mrps17 Rpl21 Nufip1 RGD1563482 Mrps35 Mrpl1 Rplp2 Mrps18c Mcts1 Mrps14 Dhx9 Mrpl55 Gadd45gip1 AABR07037343.1 Rps4x Canx AABR07029195.1 Pnpt1 Mrpl27 Rps6kc1 Mrps7 Rpl23 AABR07064667.1 LOC108352650 Rpl26 Rps6ka5 Mrpl13 Npm1 Rpl19 Eif2d AABR07028839.1 AABR07040944.1 RGD1562420 Rpl30 Rps6ka3 Mrps16 Mrpl19 Rpl7 LOC297756 AABR07052430.1 LOC100911372 Rpl15 Mrpl38 Mrps15 AABR07049516.1 Mrpl35 Rps7 Rps20 Mrpl15 Malsu1 Mrpl37 Chchd1 Rpl4 Ptcd3 Mrpl10 Mrps2 Rps24 Mrps23 Dhx29 Mrpl45 Rpl32 Mrpl57 LOC100360057 Rpl29 AABR07049821.1 Rpl36a Mrpl47 Rpl22l1 Mrps31 Rps3a Mrps24 Nsun4 Mrps30 Zcchc17 Mrpl3 Rps6ka2 AC117101.1 Rpl31 Mrpl21 Rplp1 St7l Cyld AABR07057460.1 Rps2 Rpl27a Rpl35 AABR07054456.1 Mrpl18 Rpl3l Mrpl43 Nck1 Mrps5 Hspa14 Mrpl44 Rpl13 Mrps34 Larp4b Mrpl32 Mrps9 Rpl12 Rpl7l1 Rpl34 Rps12 Rps23 Rpl3 Btf3 Rps27 Rpl28 Mrps27 Rps3 Mrpl34 Mrpl48 Mrpl2 Ndufab1 Rps15a LOC100362339 Mrps11 Mrpl46 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Mtg1 Rpl14 Rps17 Mrpl51 Mpv17l2 Rps5 Mrpl17 Mrps18a Rps16 Mrpl14 Mrps12 mrpl11 Uba52 AABR07054400.1 LOC100360573 Mrpl23 Dap3 Mrpl54 AC094246.1 Rps11 ENSRNOG00000020618 Mrpl4 Rpl27 mrpl9 Mrpl49 LOC687780 Mrpl16 Rpl18 Mrps26 LOC100363452 Rps6kb2 Isg15 LOC100361098 AABR07049524.1 mrpl24 Mrps10 AABR07066818.1 Rpl23a Ddx3x Rpl37a LOC100910528 Rpl5 Rps15 Mrps21 Nufip2 AABR07072260.1 Mrpl33 Rpl6 Rpl11 Mrps33 LOC100360449 Mrpl22 AABR07073381.1 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AC128901.1 AABR07072078.1 Rps29 LOC102555453 LOC102555453 AABR07057586.1 AABR07053166.1 AABR07036375.1 AABR07052519.1 AABR07072400.1 LOC100361854 AABR07064000.1 LOC100359951 RGD1564606 AABR07070957.1 AABR07049329.1 AABR07042903.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 LOC100362684 LOC100364116 AABR07057264.1 AC105662.1 LOC100364457 AABR07013798.1 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07053734.1 Rps4y2 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07058360.1 AABR07018167.1 AABR07030162.1 LOC100363469 AABR07053188.1 LOC108351703 AABR07021871.1 AABR07065438.1 AABR07071986.1 AABR07019341.1 AABR07018050.1 AABR07067814.1 Rpl39l LOC108349682 Mrps28 LOC100360117 Rpl10l AABR07068536.1 AABR07058519.1 Mrpl58 Rpl21 LOC100362027 AABR07060145.1 AABR07072261.1 AABR07049320.1 AC099453.1 AABR07064810.1 AABR07034641.1 LOC103690015 Rps18l1 RGD1565117 AABR07014676.1 AABR07042892.1 Rpl36 AABR07027015.1 LOC682793 LOC100360841 AABR07007121.1 AABR07062466.1 AC141489.1 RGD1560917 Rpl37 AABR07064312.1 Rpl39 Rps27aENSRNOG00000034246 AC121209.1 Mrpl12 AC132539.2ENSRNOG00000037172 AABR07031089.1 Mterf4 AC136661.1 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 Bco2 AABR07035539.1 Mrpl52 AABR07017576.1 AC094217.1 AABR07033607.1 RGD1562402 Rpl41 Rps6ka1 AABR07001902.1 Mrpl28 Mrpl42 Rps28 AC128207.2 LOC103693375 RGD1561102 AABR07052953.1 AABR07070238.2 LOC100359687 LOC100365810 AABR07067388.1 Hba-a3 LOC103690007 AABR07067829.1 Fau AABR07006576.1 Hba-a2 LOC100360647 Mrpl39 Rpl7a Mrps22 AABR07013410.1 LOC100365839 Rps19l2 AABR07044509.1 Rpl8 LOC108348142 AABR07048031.1 AABR07018533.1 AABR07028816.1 Rpl7a AABR07017250.1 AABR07007905.1 NEWGENE_1308196 Mrpl40 Rpl21 AABR07026058.1 AABR07032277.1 AABR07003273.1 LOC103694169 Nme4 Rps27l AABR07031947.1 LOC100909878 LOC103692169 Rsl24d1 AABR07012775.1 Mrpl50 Rps8 LOC691716 AABR07013302.1 AC126292.2 AABR07050399.1 AABR07064980.1 LOC100361259 AC120310.1 Rpl10 AABR07050116.1 AC126581.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 Mrps6 LOC100125366 AC114446.1 Mtg2 AABR07073045.1 Rps21 Mrps36 LOC100360491 AABR07070810.1 Rpl13a
Ribosomal subunit ,Down,Ribosomal subunit ,-11.9609,138,9.60E-25,Rpl10a Mrps18b Mrps17 RGD1563482 Mrps35 Mrpl1 Rplp2 Mrps18c Mcts1 Mrps14 Mrpl55 AABR07037343.1 AABR07029195.1 Mrpl27 Mrps7 AABR07064667.1 Rpl26 Mrpl13 Npm1 Rpl19 Eif2d AABR07028839.1 AABR07040944.1 RGD1562420 Rpl30 Mrps16 Mrpl19 Rpl7 LOC297756 AABR07052430.1 LOC100911372 Mrpl38 Mrps15 AABR07049516.1 Mrpl35 Rps20 Mrpl15 Malsu1 Mrpl37 Mrpl10 Mrps2 Rps24 Dhx29 Mrpl45 Mrpl57 AABR07049821.1 Rpl36a Mrpl47 Mrps31 Nsun4 Mrps30 Zcchc17 Mrpl3 AC117101.1 Rpl31 Mrpl21 Cyld AABR07057460.1 Rps2 Rpl27a AABR07054456.1 Mrpl18 Mrpl43 Mrps5 Mrpl44 Mrps34 Mrpl32 Mrps9 Rpl7l1 Rps12 Rps23 Mrps27 Rps3 Mrpl34 Mrpl48 Mrpl2 Ndufab1 Rps15a Mrps11 Mrpl46 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Mrpl51 Mpv17l2 Rps5 Mrpl17 Mrps18a Rps16 Mrpl14 Mrps12 mrpl11 Dap3 Mrpl54 AC094246.1 Rps11 ENSRNOG00000020618 Mrpl4 mrpl9 Mrpl49 Mrpl16 Rpl18 Mrps26 Isg15 LOC100361098 AABR07049524.1 mrpl24 Mrps10 AABR07066818.1 Ddx3x Rps15 Mrps21 AABR07072260.1 Mrpl33 Mrpl22 AABR07073381.1 RGD1359290 AC128901.1 LOC102555453 AABR07057586.1 AABR07053166.1 AABR07036375.1 AABR07052519.1 AABR07072400.1 LOC100361854 AABR07064000.1 LOC100359951 AABR07070957.1 AABR07049329.1 AABR07042903.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 LOC100362684 LOC100364116 AABR07057264.1 AC105662.1 AABR07013798.1 LOC100362149 LOC108348287 AABR07053734.1 Rps4y2 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07058360.1 AABR07018167.1 AABR07030162.1 AABR07053188.1 LOC108351703 AABR07065438.1 AABR07071986.1 AABR07019341.1 AABR07018050.1 AABR07067814.1 Rpl39l Mrps28 LOC100360117 Rpl10l AABR07058519.1 Mrpl58 LOC100362027 AABR07060145.1 AABR07072261.1 AABR07049320.1 AC099453.1 AABR07064810.1 AABR07034641.1 RGD1565117 AABR07014676.1 AABR07042892.1 Rpl36 AABR07027015.1 AABR07007121.1 AABR07062466.1 AC141489.1 RGD1560917 AABR07064312.1 AC121209.1 Mrpl12 AC132539.2ENSRNOG00000037172 AABR07031089.1 Mterf4 AC136661.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 AABR07017576.1 AC094217.1 AABR07033607.1 RGD1562402 AABR07001902.1 Mrpl28 AC128207.2 RGD1561102 AABR07052953.1 AABR07070238.2 LOC100359687 AABR07067388.1 Hba-a3 LOC103690007 AABR07067829.1 AABR07006576.1 Hba-a2 Mrpl39 Rpl7a Mrps22 AABR07013410.1 AABR07044509.1 Rpl8 LOC108348142 AABR07048031.1 AABR07028816.1 Rpl7a AABR07017250.1 AABR07007905.1 NEWGENE_1308196 Mrpl40 AABR07026058.1 AABR07032277.1 AABR07003273.1 AABR07031947.1 LOC100909878 LOC103692169 AABR07012775.1 Mrpl50 Rps8 AABR07013302.1 AC126292.2 AABR07050399.1 AABR07064980.1 AC120310.1 AABR07050116.1 AC126581.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 Mrps6 LOC100125366 AC114446.1 AABR07073045.1 Mrps36 LOC100360491 AABR07070810.1 Rpl13a
Cytosolic ribosome ,Down,Cytosolic ribosome ,-11.2239,57,4.70E-18,Rpl10a Nufip1 Rplp2 Mcts1 AABR07037343.1 AABR07029195.1 Rpl23 AABR07064667.1 Rpl19 Eif2d AABR07028839.1 AABR07040944.1 RGD1562420 Rpl30 Rpl7 LOC297756 AABR07052430.1 LOC100911372 Rpl15 AABR07049516.1 Rps24 Dhx29 LOC100360057 AABR07049821.1 Rpl36a Zcchc17 AC117101.1 Rpl31 Cyld AABR07054456.1 Rpl7l1 Rps12 Rps23 Rps15a Mrps11 LOC100911847 Rpl18a Rps5 Rps16 Uba52 AC094246.1 Rps11 ENSRNOG00000020618 Rpl27 Rpl18 Isg15 AABR07049524.1 AABR07066818.1 Ddx3x Rps15 AABR07072260.1 AABR07073381.1 RGD1359290 AC128901.1 LOC102555453 AABR07057586.1 AABR07053166.1 AABR07036375.1 AABR07052519.1 AABR07072400.1 LOC100361854 AABR07064000.1 AABR07070957.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 LOC100364116 AABR07057264.1 AC105662.1 AABR07013798.1 LOC108348287 AABR07053734.1 Rps4y2 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07058360.1 AABR07018167.1 AABR07030162.1 AABR07053188.1 LOC108351703 AABR07065438.1 AABR07071986.1 AABR07019341.1 AABR07018050.1 AABR07067814.1 Rpl39l Rpl10l AABR07058519.1 LOC100362027 AABR07060145.1 AABR07072261.1 AC099453.1 AABR07064810.1 AABR07034641.1 RGD1565117 AABR07014676.1 Rpl36 AABR07027015.1 AABR07007121.1 AABR07062466.1 AC141489.1 AABR07064312.1 AC121209.1 AC132539.2ENSRNOG00000037172 AABR07031089.1 AC136661.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 AABR07017576.1 AC094217.1 AABR07033607.1 AABR07001902.1 AC128207.2 RGD1561102 AABR07052953.1 AABR07070238.2 LOC100359687 AABR07067388.1 Hba-a3 AABR07067829.1 AABR07006576.1 Hba-a2 Rpl7a AABR07013410.1 AABR07044509.1 AABR07048031.1 AABR07028816.1 Rpl7a AABR07017250.1 AABR07007905.1 AABR07026058.1 AABR07032277.1 AABR07003273.1 AABR07031947.1 LOC100909878 AABR07012775.1 Rps8 AABR07013302.1 AC126292.2 AABR07050399.1 AABR07064980.1 AC120310.1 AABR07050116.1 AC126581.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 LOC100125366 AC114446.1 AABR07073045.1 LOC100360491 AABR07070810.1
Cytosolic large ribosomal subunit ,Down,Cytosolic large ribosomal subunit ,-9.8372,27,5.10E-11,Rpl10a Rplp2 AABR07037343.1 AABR07064667.1 Rpl19 RGD1562420 Rpl30 Rpl7 AABR07049516.1 AABR07049821.1 Rpl36a Zcchc17 Rpl31 AABR07054456.1 Rpl7l1 Rpl18a ENSRNOG00000020618 Rpl18 AABR07049524.1 AABR07072260.1 AABR07073381.1 RGD1359290 AC128901.1 LOC102555453 AABR07057586.1 AABR07053166.1 AABR07052519.1 AABR07064000.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 AABR07013798.1 LOC108348287 AABR07053734.1 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07018167.1 AABR07030162.1 AABR07053188.1 LOC108351703 AABR07065438.1 AABR07071986.1 AABR07018050.1 Rpl39l Rpl10l AABR07058519.1 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 AABR07034641.1 AABR07014676.1 Rpl36 AABR07027015.1 AABR07007121.1 AABR07062466.1 AC121209.1 AC132539.2ENSRNOG00000037172 AABR07031089.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 AABR07017576.1 AC094217.1 AABR07033607.1 AABR07001902.1 AABR07052953.1 AABR07070238.2 LOC100359687 AABR07067388.1 AABR07067829.1 Rpl7a AABR07013410.1 AABR07028816.1 Rpl7a AABR07007905.1 AABR07032277.1 AABR07003273.1 AABR07031947.1 AABR07012775.1 AABR07013302.1 AABR07050399.1 AABR07064980.1 AC120310.1 AC126581.1 AABR07050391.2 AC114446.1 LOC100360491 AABR07070810.1
Large ribosomal subunit ,Down,Large ribosomal subunit ,-9.5241,84,1.00E-15,Rpl10a RGD1563482 Mrpl1 Rplp2 Mrpl55 AABR07037343.1 Mrpl27 AABR07064667.1 Rpl26 Mrpl13 Npm1 Rpl19 RGD1562420 Rpl30 Mrpl19 Rpl7 Mrpl38 AABR07049516.1 Mrpl35 Mrpl15 Malsu1 Mrpl37 Mrpl10 Mrpl45 Mrpl57 AABR07049821.1 Rpl36a Mrpl47 Nsun4 Mrps30 Zcchc17 Mrpl3 Rpl31 Mrpl21 Rpl27a AABR07054456.1 Mrpl18 Mrpl43 Mrpl44 Mrpl32 Rpl7l1 Mrpl34 Mrpl48 Mrpl2 Ndufab1 Mrpl46 Mrpl20 Rpl17 Rpl18a Mrpl51 Mpv17l2 Mrpl17 Mrps18a Mrpl14 mrpl11 Mrpl54 ENSRNOG00000020618 Mrpl4 mrpl9 Mrpl49 Mrpl16 Rpl18 LOC100361098 AABR07049524.1 mrpl24 AABR07072260.1 Mrpl33 Mrpl22 AABR07073381.1 RGD1359290 AC128901.1 LOC102555453 AABR07057586.1 AABR07053166.1 AABR07052519.1 AABR07064000.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 AABR07013798.1 LOC108348287 AABR07053734.1 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07018167.1 AABR07030162.1 AABR07053188.1 LOC108351703 AABR07065438.1 AABR07071986.1 AABR07018050.1 Rpl39l LOC100360117 Rpl10l AABR07058519.1 Mrpl58 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 AABR07034641.1 AABR07014676.1 Rpl36 AABR07027015.1 AABR07007121.1 AABR07062466.1 RGD1560917 AC121209.1 Mrpl12 AC132539.2ENSRNOG00000037172 AABR07031089.1 Mterf4 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 AABR07017576.1 AC094217.1 AABR07033607.1 RGD1562402 AABR07001902.1 Mrpl28 AABR07052953.1 AABR07070238.2 LOC100359687 AABR07067388.1 LOC103690007 AABR07067829.1 Mrpl39 Rpl7a AABR07013410.1 Rpl8 LOC108348142 AABR07028816.1 Rpl7a AABR07007905.1 NEWGENE_1308196 Mrpl40 AABR07032277.1 AABR07003273.1 AABR07031947.1 LOC103692169 AABR07012775.1 Mrpl50 AABR07013302.1 AABR07050399.1 AABR07064980.1 AC120310.1 AC126581.1 AABR07050391.2 AC114446.1 LOC100360491 AABR07070810.1 Rpl13a
Mitochondrial protein-containing complex ,Down,Mitochondrial protein-containing complex ,-9.3547,203,4.20E-17,Atp5me Slc25a16 Supv3l1 Mrps18b Mrps17 RGD1563482 Cox6a1 Ndufv3 Pdk1 Atp5pf Mtx2 Mrps35 Atp5po Mrps18c Mrps14 Atp5f1b Mrpl55 Hsd17b10 Sdhc Pnpt1 Atp5pd Mrpl27 Mrps7 Pdk2 Mrpl13 Apool Pam16 Immp1l Ndufa4 Ndufa8 Ndufa5 Vdac1 Mrps16 Ndufa7 Mrpl19 Timm17a Atp5mc1 Ndufa12 Cox4i2 Timm10 Sdhb Timm22 Timm9 Mrpl38 Mrps15 Ndufb11 Smdt1 Mrpl35 Mrpl15 Ndufa6 Dnajc11 Malsu1 Dnajc15 Mrpl37 Immt Ndufs3 Timm29 Ndufb9 Mcub Mrpl10 Bckdhb Mrps2 Mrpl45 Ppif Cox6c Slc25a4 Mrpl57 Mfn1 Micu2 Ndufs4 Agk Mrpl47 Ndufb3 Mrps31 Ndufs1 Ndufb5 Samm50 Nsun4 Mrps30 Ndufc2 Cyc1 Mrpl3 Pmpcb Micu3 Phb2 Chchd3 Polg2 Mrpl21 Tomm22 Ndufb8 Ndufb10 Mrpl18 Atp5f1d AABR07026654.1 Mrpl43 Timm21 Spg7 Mrps5 Mrpl44 Atp5mc2 Mrps34 Mrpl32 Atp5pb Mrps9 Ndufa10l1 Mrps27 Ndufs8 Mrpl34 Ndufa2 Cox4i1 Afg3l2 Mrpl48 Mrpl2 Ndufv1 Ndufab1 Mrps11 Mrpl46 Tomm40 Mrpl20 Cox5a Mrpl51 Mpv17l2 Bckdk Mrpl17 Mrps18a Mrpl14 LOC100362432 Cox6a2 Mrps12 mrpl11 Tomm20 Dap3 Mrpl54 Dmac2 Ndufa13 Mrpl4 mrpl9 Bax Mrpl49 Mrpl16 Cox8a Mrps26 LOC100361098 mrpl24 Mrps10 LOC100912599 Mtx3 Dmac1 Ndufb6 Ndufs7 Hadha Mrps21 Polrmt Uqcrb Timm17b Mrpl33 Ndufb2 Ndufs5 Afg3l1 Mrpl22 Atp5mf Ndufv3 Chchd10 Ndufb7 Atp5mg Mt-nd4 Mt-nd5 Clpx Cox7c AABR07031937.1 Mt-nd1 AABR07025762.1 Mt-nd2 LOC691427 Mt-atp6 LOC691427 Uqcrb Polg Mrps28 Mrpl58 Mt-atp8 Mt-nd3 RGD1560917 Mt-co1 AABR07014298.1 Mrpl12 Uqcrc2 Mterf4 Timm50 Ndufc1 Mrpl52 Slc25a5 Ndufv2 Grpel2 Micos10 Mrpl28 Atp5md Mtx1 Tomm7 Micu1 LOC100910944 Uqcc3 Mcu Micos13 LOC103690007 LOC100911417 Tomm6 Apoo Mrpl39 Mrps22 LOC100911130 LOC679739 Mrpl40 Dnajc19 Atp5f1e LOC108348144 LOC103692169 AABR07016779.1 Mrpl50 Uqcr10 Mrps6 Chchd6 Ndufa3 Foxred1 Mrps36 Ndufa9 Tomm5 Ndufa10l1
Nucleosome ,Down,Nucleosome ,-8.5654,67,9.50E-13,Glyr1 H3f3b H3f3a H2az1 H2ax Macroh2a1 Kat6b Hp1bp3 Shprh Kdm1b H2bc1 H1f1 Sphk2 Hist1h2bq Hypm LOC100363125 Hist1h2af Hils1 Macroh2a2 Kat6a H1f10 Hist2h3c2 H2ac20 H2bu1 Cenpa RGD1562378 H3f3c H2aj Slf1 Hist3h2ba LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 H3c1 Hist1h3b Hist1h4m H1f4 Hist2h2aa3 H2ac1 LOC100912489 H4f3 H2ac21 Hist1h4b Hist1h2ao LOC102548682 Hist1h2ah LOC102548682 LOC100912564 LOC100910554 LOC100912564 H2az2 Hist2h2aa2 Hist1h2ak LOC680322 LOC102548682 AABR07027811.2 Hist1h2bl LOC100912564 Hist1h2bo Hist1h2ail1 H1f2 H2bc12 Hist1h2ail1 Hist1h2an LOC100912564 H2bc9 LOC684773 LOC100912564 AABR07012583.2 LOC684797 hist1h2ail2 LOC102549061 H1f5 LOC102548682 LOC103690190 Hist1h2bd Irf4 LOC102548682 H1f6
DNA packaging complex ,Down,DNA packaging complex ,-8.3932,70,1.70E-12,Glyr1 H3f3b Ncapg2 H3f3a Ncapd3 Ncaph2 Smc4 H2az1 H2ax Macroh2a1 Ncaph Kat6b Hp1bp3 Shprh Kdm1b H2bc1 H1f1 Sphk2 Hist1h2bq Hypm LOC100363125 Hist1h2af Smc2 Hils1 Macroh2a2 Kat6a H1f10 Hist2h3c2 H2ac20 H2bu1 Cenpa RGD1562378 H3f3c H2aj Ncapg Slf1 Hist3h2ba LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 H3c1 Hist1h3b Hist1h4m H1f4 Hist2h2aa3 H2ac1 LOC100912489 H4f3 H2ac21 Hist1h4b Hist1h2ao LOC102548682 Hist1h2ah LOC102548682 LOC100912564 LOC100910554 LOC100912564 H2az2 Hist2h2aa2 Hist1h2ak LOC680322 LOC102548682 AABR07027811.2 Hist1h2bl LOC100912564 Hist1h2bo Hist1h2ail1 H1f2 Ncapd2 H2bc12 Hist1h2ail1 Hist1h2an LOC100912564 H2bc9 LOC684773 LOC100912564 AABR07012583.2 LOC684797 hist1h2ail2 LOC102549061 H1f5 LOC102548682 LOC103690190 Hist1h2bd Irf4 LOC102548682 H1f6
Inner mitochondrial membrane protein complex ,Down,Inner mitochondrial membrane protein complex ,-7.561,105,4.10E-11,Atp5me Cox6a1 Ndufv3 Atp5pf Atp5po Atp5f1b Sdhc Atp5pd Apool Pam16 Immp1l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Timm17a Atp5mc1 Ndufa12 Cox4i2 Sdhb Timm22 Ndufb11 Smdt1 Ndufa6 Dnajc11 Dnajc15 Immt Ndufs3 Timm29 Ndufb9 Mcub Cox6c Micu2 Ndufs4 Agk Ndufb3 Ndufs1 Ndufb5 Ndufc2 Cyc1 Micu3 Phb2 Chchd3 Ndufb8 Ndufb10 Atp5f1d Timm21 Spg7 Atp5mc2 Atp5pb Ndufa10l1 Ndufs8 Ndufa2 Cox4i1 Afg3l2 Ndufv1 Ndufab1 Cox5a LOC100362432 Cox6a2 Dmac2 Ndufa13 Cox8a LOC100912599 Dmac1 Ndufb6 Ndufs7 Uqcrb Timm17b Ndufb2 Ndufs5 Afg3l1 Atp5mf Ndufv3 Chchd10 Ndufb7 Atp5mg Mt-nd4 Mt-nd5 Cox7c AABR07031937.1 Mt-nd1 AABR07025762.1 Mt-nd2 LOC691427 Mt-atp6 LOC691427 Uqcrb Mt-atp8 Mt-nd3 Mt-co1 AABR07014298.1 Uqcrc2 Timm50 Ndufc1 Ndufv2 Grpel2 Micos10 Atp5md Micu1 LOC100910944 Uqcc3 Mcu Micos13 LOC100911417 Apoo LOC100911130 LOC679739 Dnajc19 Atp5f1e LOC108348144 AABR07016779.1 Uqcr10 Chchd6 Ndufa3 Foxred1 Ndufa9 Ndufa10l1
Respirasome ,Down,Respirasome ,-7.5435,73,1.50E-10,Cox6a1 Ndufv3 Ttc19 Sdhc Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufa12 Cox4i2 Sdhb Ndufb11 Ndufa6 Ndufs3 Ndufb9 Cycs Cox6c Ndufs4 Ndufb3 Ndufs1 Ndufb5 Ndufc2 Cyc1 Ndufb8 Ndufb10 Cox8b Ndufa10l1 Ndufs8 Ndufa2 Cox4i1 Ndufv1 Ndufab1 Cox5a Cox6a2 Rab5if Dmac2 Ndufa13 Cox8a LOC100912599 Dmac1 Cox6b1 Pde11a Ndufb6 Ndufs7 Uqcrb Ndufb2 Ndufs5 Ndufv3 Ndufb7 Mt-nd6 Mt-nd4 Mt-nd5 Cox7c AABR07031937.1 Mt-co2 Mt-nd1 Mt-co3 AABR07025762.1 Mt-nd2 Mt-nd4l Cox8c Mt-cyb Uqcrb AC128290.1 Mt-nd3 Cox6b1 Mt-co1 AABR07014298.1 Uqcrc2 Ndufc1 Cox6b2 Ndufv2 Cox7a2l2 Uqcc3 LOC687508 LOC679739 Cox7a1 LOC108348144 Coa6 AABR07016779.1 Cox7b Uqcr10 Ndufa3 Foxred1 Ndufa9 Ndufa10l1
