,Direction,Pathways,statistic,nGenes,adj.Pval,Genes
Structural constituent of ribosome ,Down,Structural constituent of ribosome ,-17.7068,172,1.30E-47,Rpl10a Mrps18b Mrps17 Rpl21 Mrps35 Mrpl1 Rplp2 Mrps18c Mrps14 Mrpl55 AABR07037343.1 Rps4x AABR07029195.1 Mrpl27 Rpl23 AABR07064667.1 LOC108352650 Rpl26 Mrpl13 Rpl19 AABR07028839.1 AABR07040944.1 RGD1562420 Rpl30 Mrps16 Mrpl19 Rpl7 LOC297756 AABR07052430.1 LOC100911372 Rpl15 Mrps15 AABR07049516.1 Mrpl35 Rps7 Rps20 Mrpl15 Mrpl37 Rpl4 Mrps2 Rps24 Mrps23 Rpl32 Mrpl57 Mrps25 LOC100360057 Rpl29 AABR07049821.1 Rpl36a Mrpl47 Rpl22l1 Mrps31 Rps3a Mrps30 Mrpl3 AC117101.1 Rpl31 Mrpl21 Rplp1 St7l Cyld AABR07057460.1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl3l Mrpl43 Mrps5 Rpl13 Mrps34 Mrpl32 Mrps9 Rpl12 Rpl7l1 Rpl34 Rps12 Rps23 Rpl3 Rps27 Rpl28 Rps3 Mrpl34 Mrpl2 Rps15a LOC100362339 Mrps11 Mrpl46 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Mrpl51 Rps5 Mrpl17 Mrps18a Rps16 Mrpl14 Mrps12 mrpl11 Uba52 AABR07054400.1 LOC100360573 Mrpl23 Dap3 Mrpl54 AC094246.1 Rps11 ENSRNOG00000020618 Mrpl4 Rpl27 mrpl9 Mrpl49 LOC687780 Mrpl16 Rpl18 LOC100363452 AABR07049524.1 mrpl24 AABR07066818.1 Rpl23a Rpl37a LOC100910528 Rpl5 Rps15 Mrps21 AABR07072260.1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 AABR07073381.1 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 LOC102555453 AABR07053166.1 AABR07036375.1 AABR07072400.1 LOC100361854 AABR07064000.1 LOC100359951 RGD1564606 AABR07070957.1 AABR07049329.1 AABR07042903.1 AABR07029002.1 AABR07021008.1 AABR07071195.1 LOC100362684 LOC100364116 AABR07057264.1 AC105662.1 LOC100364457 AABR07013798.1 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07053734.1 Rps4y2 AABR07034639.1 Rpl36al AC129049.1 AC098064.1 AABR07058360.1 AABR07030162.1 LOC100363469 AABR07053188.1 LOC108351703 AABR07065438.1 AABR07071986.1 AABR07019341.1 AABR07018050.1 AABR07067814.1 Rpl39l LOC108349682 LOC100360117 Rpl10l AABR07068536.1 AABR07058519.1 Rpl21 LOC100362027 AABR07060145.1 AABR07072261.1 AABR07049320.1 AC099453.1 AABR07064810.1 AABR07034641.1 LOC103690015 Rps18l1 RGD1565117 AABR07014676.1 AABR07042892.1 Rpl36 AABR07027015.1 LOC682793 LOC100360841 AABR07062466.1 AC141489.1 RGD1560917 Rpl37 AABR07064312.1 Rpl39 Rps27aENSRNOG00000034246 AC121209.1 Mrpl12 AC132539.2ENSRNOG00000037172 AABR07031089.1 AC136661.1 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 Bco2 AABR07035539.1 Mrpl52 AABR07017576.1 AC094217.1 AABR07033607.1 RGD1562402 Rpl41 AABR07001902.1 Mrpl28 Rps28 AC128207.2 LOC103693375 RGD1561102 AABR07052953.1 AABR07070238.2 LOC100359687 LOC100365810 AABR07067388.1 AABR07067829.1 Fau AABR07006576.1 LOC100360647 Mrps22 AABR07013410.1 LOC100365839 Rps19l2 AABR07044509.1 Rpl8 LOC108348142 AABR07048031.1 AABR07018533.1 AABR07028816.1 Rpl7a AABR07017250.1 AABR07007905.1 NEWGENE_1308196 Rpl21 AABR07026058.1 AABR07032277.1 LOC103694169 Nme4 Rps27l AABR07031947.1 LOC100909878 Rsl24d1 AABR07012775.1 Rps8 LOC691716 AABR07013302.1 AC126292.2 AABR07050399.1 AABR07064980.1 LOC100361259 AC120310.1 Rpl10 AABR07050116.1 AC126581.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 Mrps6 LOC100125366 AC114446.1 AABR07073045.1 Rps21 LOC100360491 AABR07070810.1 Rpl13a
Electron transfer activity ,Down,Electron transfer activity ,-6.3635,60,7.30E-07,Cox6a1 Ndufb4 Sdhc Cybb Cox7a2l Ndufa4 Ndufa5 Ndufa7 Xdh Ndufa12 Cox4i2 Sdhb Steap4 Ndufs3 Etfdh Cycs Cox6c Cyb5b Ndufs4 Ndufs1 Fdx1 Glrx Ndufc2 Cyc1 Uqcrh Cyba Ndufb8 Cox8b Cyb5a Etfa Aox1 Ciapin1 Cox5b Uqcr11 Ndufs8 Cox4i1 Nqo2 Etfb Ndufv1 Uqcrfs1 Cox5a Cox6a2 Ndufa13 Cox8a Fdx2 Pde11a Ndufs7 Cox10 Ndufb7 Mt-nd6 Mt-nd4 Mt-nd5 Cox7c Mt-co2 Mt-nd1 Mt-co3 Mt-nd2 Mt-nd4l Cox8c Mt-cyb AC128290.1 Mt-nd3 Aox2 Mt-co1 AABR07014298.1 Ndufs2 Ndufv2 Cox7a2l2 LOC687508 Uqcrq Cox7a1 Cox7b Ndufaf2 Aifm2 Aox3
Oxidoreduction-driven active transmembrane transporter activity ,Down,Oxidoreduction-driven active transmembrane transporter activity ,-5.8906,45,8.10E-06,Cox6a1 Ndufb4 Cox7a2l Ndufa4 Ndufa5 Ndufa7 Ndufa12 Cox4i2 Ndufs3 Cybrd1 Cox6c Cyb5b Ndufs4 Ndufs1 Ndufc2 Uqcrh Ndufb8 Cox8b Cox5b Uqcr11 Ndufs8 Cox4i1 Ndufv1 Uqcrfs1 Cox5a Cox6a2 Ndufa13 Cyb561a3 Cox8a Cyb561d2 Ndufs7 Cox10 Ndufb7 Mt-nd6 Mt-nd4 Mt-nd5 Cox7c Mt-co2 Mt-nd1 Mt-co3 Mt-nd2 Mt-nd4l Cox8c Mt-cyb Mt-nd3 Mt-co1 AABR07014298.1 Ndufs2 Ndufv2 Cox7a2l2 LOC687508 Uqcrq Cox7a1 Cox7b Ndufaf2
Metal ion transmembrane transporter activity ,Up,Metal ion transmembrane transporter activity ,7.9657,117,2.60E-11,Tmem175 Grik2 Slc39a7 Slc9a6 Mmgt1 Mcoln1 Trpv4 Trpm2 Atp2a2 P2rx4 Orai1 Slc8b1 Orai2 Slc8a2 Kcnj15 Kcnj6 Itpr2 Pkd2 Kcnj12 Slc30a10 Kcnk2 Cacna1e Atp1b1 Stim2 Atp2b4 Trpv2 Slc4a4 Cacng1 Cacng4 Grin2c Cacng5 Zdhhc17 Kcnk10 Kcnh1 NEWGENE_620180 Tmco1 Atp2b1 Kcnc2 Kcnv1 Slc9a7 Lrrc52 Cacnb1 Kcng3 Cacna1b Kcnj16 Kcnj2 Kcns3 Itgav Kcna4 Scn3a Scn2a Slc39a9 Slc24a5 Nipal2 Slc12a6 Kcnq3 Slc4a10 Scn8a Kcnj3 Kcnmb1 Slc6a11 Slc30a6 Kcnma1 Snap25 Cacng2 Nipal4 Slc38a2 Trpc6 Kcnk16 Slc6a1 Scn9a Ryr3 Slc24a4 Cacna1c Itpr1 Atp1a2 Trpa1 Kcnh7 Kcnj9 Cacnb4 Kcnj10 Tspoap1 Slc9a1 Cdk5 Kcnh6 Slc24a2 Cnr1 Slc9a8 Asic3 Slc8a1 Kcnab3 Slc9a9 Grin2b Hcn2 Grik3 Slc6a6 Psen1 Kcnk9 Hcn4 Kcnh5 Kcnk3 Slc39a14 Kcnh2 Panx1 Kcnmb2 Anxa2 Slc39a2 Slc5a7 Pkd1 Trpc4 Kcns2 Atp1b3 Kcnab2 Kcnq2 Aqp1 Slc39a10 Grin1 Tmem38a Slc39a13 Scn4a Cacng3 Slc39a8 Grin3b Pkd2l1 Nipa2 Trpc7 Slc6a13 Atp7b Htr1b Tusc3 Cacna1d Atp2c1 Kcnt2 Tpcn2 Kcnj8 Slc6a12 Slc31a2 Kcns1 Sec61a1 Kcnq5 Kcnj4 Mfsd2a Kcnip3 Zdhhc13 Slc39a4 Slc31a1 Kcnd3 Slc1a1 Slc11a1 Mcoln3 Scn5a Lrrc38 Slc9a4 Slc25a37 Slc9a2 Kcng4 Trpm1 Cacna2d2 Cnnm4ENSRNOG00000015886 Slc12a2 Kcnj13 Trpc3 Kcnk12 Slc1a3 Scn2b Slc12a7 Letm1 Kcnn2 Slc25a28 Kcne3 Ryr2 Kcnt1 Mrs2 Rasa3 Atp2a3 Slc12a5 Kcna2 Cacnb2 Slc30a5 Kcnh4 Slc5a5 Trpm8 Slc13a3 Kcne5 Scnn1a Kcnn4 Slc6a9 Trpv1 Slc11a2 Trpv3 Slc12a4 Kcna5 Kcna1 Kcnk1 Kcnc3 Asic4 Cnnm2 LOC102549471 Atp1a3 Grik5 Hcn3 Ryr1 LOC100909725 Slc17a7 Ccdc51 Kcnn3 Trpm4 Kcna7 Kcnk7 Kcnj14 Grin2d Scn1b Kcnj11 Abcc8 Anxa9 Kcnk4 Slc4a11 Slc23a2 Catsper2 Slc9b2 Kcnf1 Slc39a12 Scn4b Trpc5 Lrrc55 Slc28a2 Slc39a6 Slc9a5 Slc4a8 AC125757.1 Kcnn1 Scn7a Kcne2 Slc8a3 Atp1a1 Atp2b2 Slc39a11 Slc6a5ENSRNOG00000031662 Scn10a Scn11a Cacna2d1 Kcnj5 Cacna1h Grin2a Abcc9 Nipal3 Kcnd1 Slc41a1 Nipa1 Slc39a3 Pkd1l2 Mcu Cacna1s Kcnb1 Kcnk5 AABR07005775.1 Kcnk13 Tmem37 Kcne4 Kcna10 Magt1 Kcna6 Cacna1a Itpr3 Scn1a AABR07062512.1 Kcng2 Cacnb3 Kcng1 Kcnmb4 Trpc1 Hcn1 Kcnc1 Cacng7 Kcnab1 Slc12a3 Scn3b Slc6a8 Trpm7 Cacng6 Asic2 Kcnh8 Tpcn1 Slc39a1 Asic1 Kcnq4 Cacna1g Slc10a3 Slc24a3 Kcnc4 Atp2b3 Atp7a Kcna3
Gated channel activity ,Up,Gated channel activity ,6.1541,85,8.50E-07,Gpr89b Ano10 Grik2 Clic2 Mcoln1 Trpv4 Trpm2 Hvcn1 P2rx7 P2rx4 Grik1 Kcnj15 Kcnj6 Clcn2 Itpr2 P2rx6 Pkd2 Tmem150c Kcnj12 Gabrb1 Gabra4 Gabra2 Gabrg1 Kcnk2 Clcn5 Cacna1e Gabrg2 Cacng1 Cacng4 Grin2c Cacng5 Tmem63a Glra2 Gabra1 Clcn4 Gabrb2 Chrne Kcnh1 Pacc1 Kcnc2 Kcnv1 Lrrc52 Cacnb1 Kcng3 Cacna1b Kcnj16 Kcnj2 Ano3 Kcns3 Itgav Kcna4 Scn3a Kcnq3 Scn8a Kcnj3 Kcnmb1 Grin3a Kcnma1 Snap25 Grid2 Cacng2 Vdac1 Htr3a Ryr3 Ano4 Gria4 Ano6 Cacna1c Itpr1 Atp5mc1 Trpa1 Gabrr2 Kcnh7 Kcnj9 Cacnb4 Gria3 Kcnj10 Tspoap1 Cdk5 Kcnh6 Cnr1 Clcn6 Asic3 Kcnab3 P2rx3 Grin2b Hcn2 Grik3 Kcnk9 Hcn4 Kcnh5 Kcnk3 Kcnh2 Kcnmb2 Glrb Anxa6 Clcn3 Gabra5 Chrna7 Chrna4 Pex5l Tmem63c Kcns2 Kcnab2 Kcnq2 Aqp1 Grin1 Chrna6 Cacng3 Chrnb3 Grin3b Pkd2l1 Htr1b Cacna1d Kcnt2 Tpcn2 Kcnj8 Vdac2 Glra1 Chrna5 Kcns1 Kcnq5 Chrna3 Kcnj4 Nmur2 Kcnip3 Chrnb4 Kcnd3 Chrnb1 Gabrg3 Mcoln3 Scn5a Clic3 Tmem266 Lrrc38 Atp5mc2 Kcng4 Cacna2d2 Ano5 Kcnj13 Kcnn2 Tmc7 Clcn1 Clcn7 Kcne3 Ryr2 Chrna2 P2rx1 Rasa3 Clic4 Kcna2 Chrna1 Cacnb2 Kcnh4 Kcne5 P2rx5 Vdac3 Scnn1a Kcnn4 Trpv1 Chrnd Kcna5 Tmem63b Kcna1 Kcnc3 Grik5 Hcn3 Ryr1 Ccdc51 Kcnn3 Trpm4 Chrnb2 Kcna7 Ano1 Kcnj14 Grin2d Kcnj11 Kcnk4 Catsper2 Ano2 Kcnf1 Clic6 Trpm3 Ptk2b Lrrc55 AC125757.1 Kcnn1 Clic1 Kcne2 Grik4 Cacna2d1 Kcnj5 Cacna1h Grin2a Clca4l P2rx2 Piezo2 Kcnd1 Gria1 Tmc8 Cacna1s Kcnb1 Kcnk5 Clic5 Kcnk13 Tmem37 Kcne4 Glra3 Kcna10 LOC108348101 Kcna6 Cacna1a Itpr3 Scn1a AABR07062512.1 Gabrq AABR07030861.1 Kcng2 Gria2 Cacnb3 Kcng1 Kcnmb4 Hcn1 Kcnc1 Grid1 Ttyh3 Cacng7 Gabra3 Kcnab1 Piezo1 Cacng6 Asic2 Kcnh8 Tpcn1 Asic1 Kcnq4 Cacna1g Gabrb3 Clca1 Kcnc4 Gabre Kcna3
Secondary active transmembrane transporter activity ,Up,Secondary active transmembrane transporter activity ,5.9297,62,2.50E-06,Slc26a1 Slc26a8 Slc16a10 Slc9a6 Slc15a4 Slc37a1 Slc19a1 Slc8b1 Slc8a2 Slc15a2 Slc16a2 Clcn5 Slc4a4 Clcn4 Slc9a7 Slc24a5 Slc12a6 Slc1a4 Slc4a10 Slc1a2 Slc6a11 Slc4a7 Slc6a20 Slc26a7 Slc38a2 Slc6a1 Slc24a4 Slc25a14 Slc26a3 Slc1a6 Slc45a3 Slc35c1 Slc45a4 Slc16a7 Slc9a1 Slc24a2 Slc25a3 Slc9a8 Slc8a1 Slc9a9 Slc35a1 Slc6a6 Slco1c1 Slc39a14 Slc33a1 Slc4a5 Slc5a7 Clcn3 Slc25a4 Ankh Slc37a4 Slc36a2 Slc35d3 Slc36a1 Slc39a8 Slc6a13 Slc6a12 Mfsd2a Slc7a8 Slc4a2 Slc1a1 Slc11a1 Slc9a4 Slc32a1 Cdh17 Slc9a2 Slc2a13 Slc1a5 Slc12a2 Slc1a3 Slc12a7 Letm1 Clcn7 Slc35e2b Slc22a25 Slc26a2 Slc22a8 Slc12a5 Slc22a6 Slc20a1 Slc6a7 Slc35c2ENSRNOG00000018649 Slc5a5 Slc7a5 Slc13a3 LOC103693999 Slc6a9 Slc20a2 Slc11a2 Slc12a4 Slc4a3 Atp1a3 Slc26a6 Slc17a7 Slc4a1 Slc4a11 Slc23a2 Slc35d1 Slc9b2 Tmem241 Slc10a4 Slc35e3 Slc28a2 Ctns Slc9a5 Slc4a8 Slc26a10 Slc8a3 Slc26a11 Slc6a5ENSRNOG00000031662 Slc10a5 Slc16a3 Slc25a10 Slc25a1 Slc37a2 Mfsd12 Slc25a5 Slc41a1 Slc25a18 Slc9b1 Mcu AABR07029596.1 Tmco3 Slc12a3 Slc47a1 Slc6a8 Slc10a3 Slc24a3
Sodium ion transmembrane transporter activity ,Up,Sodium ion transmembrane transporter activity ,5.8006,40,5.90E-06,Grik2 Slc9a6 Slc8b1 Slc8a2 Pkd2 Atp1b1 Slc4a4 Slc9a7 Scn3a Scn2a Slc24a5 Slc4a10 Scn8a Slc6a11 Slc38a2 Slc6a1 Scn9a Slc24a4 Atp1a2 Slc9a1 Slc24a2 Slc9a8 Asic3 Slc8a1 Slc9a9 Hcn2 Grik3 Slc6a6 Hcn4 Slc5a7 Atp1b3 Scn4a Pkd2l1 Slc6a13 Slc6a12 Mfsd2a Slc1a1 Scn5a Slc9a4 Slc9a2 Cnnm4ENSRNOG00000015886 Slc1a3 Scn2b Slc5a5 Slc13a3 Scnn1a Slc6a9 Kcnk1 Asic4 Atp1a3 Grik5 Hcn3 Slc17a7 Scn1b Slc4a11 Slc23a2 Slc9b2 Scn4b Slc28a2 Slc9a5 Slc4a8 Scn7a Slc8a3 Atp1a1 Slc6a5ENSRNOG00000031662 Scn10a Scn11a Slc41a1 Scn1a Hcn1 Slc12a3 Scn3b Slc6a8 Asic2 Asic1 Slc10a3 Slc24a3
Anion transmembrane transporter activity ,Up,Anion transmembrane transporter activity ,5.7964,98,2.50E-06,Slc26a1 Xpr1 Gpr89b Ano10 Slc26a8 Clic2 Gja1 Slc7a1 Slc15a4 Slc37a1 Slc19a1 Cldn4 Clcn2 Slc10a6 Lrrc8d Lrrc8c Lrrc8b Gabrb1 Gabra4 Gabra2 Gabrg1 Clcn5 Slc4a4 Mpc2 Gabrg2 Glra2 Gabra1 Clcn4 Gabrb2 Pacc1 Slc7a3 Slc9a7 Slc25a29 Slc25a32 Ano3 Slc52a3 Slc24a5 Slc12a6 Slc1a4 Slc38a1 Slc4a10 Slc6a11 Slc4a7 Slc6a20 Slc26a7 Slc38a2 Vdac1 Slc6a1 Slc24a4 Ano4 Slc25a14 Slc26a3 Ano6 Abcg2 Slc2a1 Gabrr2 Slc1a6 Slc16a7 Slc24a2 Clcn6 Asic3 Slc35b4 Slc35a1 Slc25a21 Slc6a6 Slco1c1 Slc39a14 Slc38a9 Slc25a13 Slc33a1 Abcc4 Glrb Slc17a9 Slc46a1 Slc4a5 Clcn3 Gabra5 Slc25a4 Ankh Slc7a2 Slc37a4 Slc36a4 Slc36a2 Slc38a7 Slc35d3 Slc7a9 Slc36a1 Slc39a8 Mfsd10 Mfsd5 Slc6a13 Vdac2 Slc6a12 Glra1 Mfsd2a Nmur2 Slc7a8 Slc4a2 Slc1a1 Gabrg3 Slc13a5 Clic3 Slc32a1 Sfxn3 Slc1a5 Slc12a2 Ano5 Slc1a3 Slc12a7 Slc22a2 Slc38a3 Clcn1 Clcn7 Slc66a1 Slc22a25 Slc26a2 Slc22a8 Clic4 Slc12a5 Slc27a1 Slc22a6 Sfxn1 Slc25a22 Slc3a2 Slc25a38 Slc6a7 Slc16a11 Slc5a5 Slc7a5 Slc25a17 Slc13a3 Vdac3 Slc12a4 Slc35b2 Slc16a1 Slc4a3 Slc25a42 Best1 Slc26a6 Slc25a24ENSRNOG00000020470 Ano1 Slc4a1 Slc4a11 Slc23a2 Slc16a12 Slc2a8 Abcc1 Slc25a12 Slc35d1 Ano2 Lrrc8a Slc2a10 Clic6 Slc25a2 Slc38a5 Lrrc8e Ctns Slc4a8 Abcc5 Slc26a10 Clic1 Slc26a11 Slc6a5ENSRNOG00000031662 Slc52a2 Ttyh1 Slc16a3 Slc25a10 Clca4l Slc25a1 Slc37a2 Mfsd12 Slc25a5 Slc25a18 Rtbdn Abcc2 Clic5 Slco1a4 Slc25a23 Sfxn2 Glra3 LOC100911440 LOC108348101 Ttyh3 Gabra3 Slc12a3 Slc47a1 Slc6a8 Slc5a6 AABR07028997.1 Gabrb3 Slc24a3 Clca1
Symporter activity ,Up,Symporter activity ,5.7027,32,1.40E-05,Slc15a4 Slc15a2 Slc4a4 Slc12a6 Slc1a4 Slc4a10 Slc1a2 Slc6a11 Slc6a20 Slc38a2 Slc6a1 Slc1a6 Slc45a3 Slc45a4 Slc16a7 Slc6a6 Slc39a14 Slc33a1 Slc5a7 Slc36a2 Slc36a1 Slc39a8 Slc6a13 Slc6a12 Mfsd2a Slc1a1 Slc32a1 Slc2a13 Slc1a5 Slc12a2 Slc1a3 Slc12a7 Slc12a5 Slc6a7 Slc5a5 Slc13a3 Slc6a9 Slc20a2 Slc11a2 Slc12a4 Slc17a7 Slc23a2 Slc10a4 Slc28a2 Ctns Slc4a8 Slc6a5ENSRNOG00000031662 Slc10a5 Slc16a3 Mfsd12 Slc25a18 Slc12a3 Slc6a8 Slc10a3
Potassium ion transmembrane transporter activity ,Up,Potassium ion transmembrane transporter activity ,5.5905,35,1.30E-05,Tmem175 Grik2 Kcnj15 Kcnj6 Pkd2 Kcnj12 Kcnk2 Atp1b1 Kcnk10 Kcnh1 Kcnc2 Kcnv1 Slc9a7 Lrrc52 Kcng3 Kcnj16 Kcnj2 Kcns3 Kcna4 Slc24a5 Slc12a6 Kcnq3 Kcnj3 Kcnmb1 Kcnma1 Snap25 Kcnk16 Slc24a4 Atp1a2 Kcnh7 Kcnj9 Kcnj10 Kcnh6 Slc24a2 Kcnab3 Hcn2 Grik3 Kcnk9 Hcn4 Kcnh5 Kcnk3 Kcnh2 Kcnmb2 Kcns2 Atp1b3 Kcnab2 Kcnq2 Aqp1 Tmem38a Pkd2l1 Kcnt2 Kcnj8 Kcns1 Kcnq5 Kcnj4 Kcnip3 Kcnd3 Lrrc38 Kcng4 Kcnj13 Kcnk12 Slc12a7 Kcnn2 Kcne3 Kcnt1 Slc12a5 Kcna2 Kcnh4 Kcne5 Kcnn4 Slc12a4 Kcna5 Kcna1 Kcnk1 Kcnc3 Atp1a3 Grik5 Hcn3 LOC100909725 Ccdc51 Kcnn3 Kcna7 Kcnk7 Kcnj14 Kcnj11 Abcc8 Kcnk4 Kcnf1 Lrrc55 AC125757.1 Kcnn1 Kcne2 Atp1a1 Kcnj5 Abcc9 Kcnd1 Kcnb1 Kcnk5 Kcnk13 Kcne4 Kcna10 Kcna6 Kcng2 Kcng1 Kcnmb4 Hcn1 Kcnc1 Kcnab1 Kcnh8 Kcnq4 Slc24a3 Kcnc4 Kcna3
