"","","Cluster","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000058438","AABR07030184.3","A","1.70376919476362","2.11926434901624","1.4328759588135","3.08831758061001","-5.60205324188027","1.39844140130049","-4.27505500258542","0.134439759961854"
"ENSRNOG00000057333","AABR07030184.1","A","2.26129025587158","0.734137266247155","2.78652951800209","3.59799338090311","-0.327485860211986","-4.36105632183629","-4.28746190350389","-0.403946335471763"
"ENSRNOG00000059657","AABR07030184.4","A","-2.65393239387635","3.5362338697981","2.5893142893943","1.13859495293532","-2.12056753954097","-3.83107816235819","3.34327270926242","-2.00183772561464"
"ENSRNOG00000059367","U1","A","2.99257606881227","3.67101130130897","-1.38068279799521","-1.33832182694689","-3.34513385062547","-4.14499808316167","2.06866554880171","1.4768836398063"
"ENSRNOG00000005975","Rpl30","A","-6.44748109272961","2.20670281570724","1.56481170407936","3.00567345522505","-0.164380180273707","-0.776371134861646","0.105270493829848","0.505773939023458"
"ENSRNOG00000030345","LOC100362684","A","2.90079588521308","2.38122089903203","-3.0110345891882","3.29065706887661","-2.29135542533977","-3.0110345891882","-2.29936365125937","2.04011440185381"
"ENSRNOG00000059255","","A","0.839142081268734","1.70088641605414","2.43054797478621","2.9852594928048","-0.525848395416821","-1.03753792280994","-0.354681405993508","-6.03776824069362"
"ENSRNOG00000013250","Pdcd5","A","2.19161922175994","2.42312963033136","-2.96912585788886","1.66304953261891","2.03299859877069","-2.96912585788886","0.596580590185689","-2.96912585788886"
"ENSRNOG00000030596","LOC100362149","A","3.35125455066539","0.222357152892366","-0.580515816983779","2.86333206337272","-1.98715757715189","-3.60430681364935","1.09060223292504","-1.35556579207048"
"ENSRNOG00000017645","Mylpf","A","4.86736374371144","0.190910521792681","-0.364602676623587","-0.120651823068536","-1.21681745646609","0.609507890284252","-0.282210722800342","-3.68349947682981"
"ENSRNOG00000013262","Myl1","A","4.75414384262061","-0.0556257553354511","-0.276404212254471","-0.0324533586994202","-1.12861899209698","0.149080089038615","-0.592652863753558","-2.81746874951934"
"ENSRNOG00000056985","U4","A","-4.00824382027343","-0.72291831137951","2.55734581141805","2.85727889078276","-0.497521172932265","-0.079961891691207","-0.225443971424195","0.119464465499802"
"ENSRNOG00000056670","AABR07000902.1","A","-1.11601948134352","1.03112897385391","2.17282804259913","3.59372023505083","-2.07190845777046","-2.07190845777046","-0.243764659790305","-1.29407619482911"
"ENSRNOG00000055590","U1","A","0.526069552074979","0.239520905786373","2.04305858252828","3.04426089185639","-0.850879771180991","-2.72103678921187","-1.2063208199244","-1.07467255192876"
"ENSRNOG00000060466","U3","A","-0.698364638298921","1.20331645284491","1.64893944971783","2.81296094367811","-0.935719922941152","-3.18894592582804","-0.431225063706739","-0.410961295465997"
"ENSRNOG00000050395","Ms4a6e","A","1.49626368881383","1.59665264113413","-2.41988980104771","2.33296022991687","-1.22225616018582","-2.41988980104771","0.0300409325290873","0.606118269887327"
"ENSRNOG00000051969","AABR07071864.1","A","0.0631019679124298","1.44074934713025","0.779318863192269","3.13144785037657","-2.90243636188801","-0.999256029518641","-1.34747161476323","-0.165454022441637"
"ENSRNOG00000053959","U3","A","-0.72699656465014","1.14672969552575","1.69229240448414","2.7944028515672","-0.968811070880678","-3.10843407454675","-0.367136050438779","-0.462047191060737"
"ENSRNOG00000055418","AC096601.2","A","-0.000479215733047322","-0.91863033942326","2.47351178679862","2.9032805339898","-0.408283882433171","-1.49499602757967","-2.25116742512617","-0.303235430493112"
"ENSRNOG00000014656","Cox8b","A","3.96042686673073","0.767320825382404","-0.386650398483961","-0.0450407063074452","-1.70655833809952","-0.456806683379523","-1.70655833809952","-0.426133227743179"
"ENSRNOG00000058606","","A","0.749040618863705","0.520945462027392","2.15307854811468","2.67671767566714","-1.78209043970467","-1.47278663170425","-0.872375594410988","-1.97252963885302"
"ENSRNOG00000051481","AABR07032532.1","A","1.52536175485808","0.44806287040072","2.28965883629572","1.99766143069812","-1.56518622306316","-1.56518622306316","-1.56518622306316","-1.56518622306316"
"ENSRNOG00000010079","Ca3","A","4.02235312901551","0.0632986747298903","0.0452799444461971","-0.345869602120761","-0.91630463211987","-0.399100794100564","-0.488300807978892","-1.98135591187151"
"ENSRNOG00000058108","7SK","A","-0.00908927495216538","1.92283646968016","1.86794160756853","2.24619751944187","-1.6278461159731","-1.24632650095849","-1.64459740276003","-1.50911630204677"
"ENSRNOG00000023227","AABR07052585.2","A","3.71742000599601","0.0898220717798437","0.420411027556989","-0.722539459910005","-0.541173549009078","-0.0239697109897721","-0.555913293721916","-2.38405709170208"
"ENSRNOG00000054065","AABR07058976.1","A","-0.427803837017285","1.17725788156051","1.76955943404303","2.51723549736852","-1.71431740034404","-1.75487403651817","-1.85186989732347","0.284812358230912"
"ENSRNOG00000010805","Fabp4","A","0.753451993223488","-0.0931777119365673","1.81046481995328","2.77402858137596","-1.50090569019534","-2.05838692528116","-0.120422991410211","-1.56505207572945"
"ENSRNOG00000052910","","A","-0.0460918670639026","1.67749298131368","1.5350684807344","2.49318526088465","-1.26197945457622","-1.18903766694104","-0.939937797054564","-2.26869993729701"
"ENSRNOG00000053692","AABR07058706.1","A","-0.181531799761627","-1.70737471005707","1.09709340920199","3.0454753209075","-1.70737471005707","-1.70737471005707","0.12076908792309","1.04031811190025"
"ENSRNOG00000018426","NEWGENE_2134","A","1.02767478621519","-0.4739071741107","2.03516248462182","2.10480894205561","-1.08395165899499","-2.79799290711724","0.272813178084842","-1.08460765075453"
"ENSRNOG00000056003","","A","-0.183582030461839","0.388216609687798","2.58483283795396","2.31857979110962","-1.71459107600654","-1.18451858513497","-1.72259930192613","-0.486338245221903"
