"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",3.76598277782864e-57,152,"Translation ","Rpl10a Rpl21 Rplp2 Mrps18c Srp9 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m AC117101.1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Tma7 LOC100365839 AABR07044509.1 AABR07028816.1 LOC100912571 Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",3.93763652764295e-56,152,"Peptide biosynthetic process ","Rpl10a Rpl21 Rplp2 Mrps18c Srp9 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m AC117101.1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Tma7 LOC100365839 AABR07044509.1 AABR07028816.1 LOC100912571 Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",2.21112467351251e-50,154,"Amide biosynthetic process ","Rpl10a Rpl21 Rplp2 Mrps18c Mpc2 Srp9 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m AC117101.1 Arg1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Tma7 LOC100365839 AABR07044509.1 AABR07028816.1 LOC100912571 Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",1.11185479992099e-48,155,"Peptide metabolic process ","Rpl10a Rpl21 Chac2 Rplp2 Mrps18c Srp9 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m AC117101.1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 LOC103690139 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Tma7 LOC100365839 AABR07044509.1 Gpx1 AABR07028816.1 LOC100912571 Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",2.4232104687247e-40,159,"Cellular amide metabolic process ","Rpl10a Rpl21 Chac2 Rplp2 Mrps18c Mpc2 Srp9 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Dbil5 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m AC117101.1 Arg1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 LOC103690139 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Dbi Tma7 LOC100365839 AABR07044509.1 Gpx1 AABR07028816.1 LOC100912571 Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",4.6409051416052e-30,176,"Organonitrogen compound biosynthetic process ","Atp5me Rpl10a Rpl21 Sdf2l1 Rplp2 Mrps18c Nme2 Guk1 Mpc2 Srp9 Atp5pd Sat1 Rpl23 LOC108352650 Rpl26 Rpl19 LOC100911372 Rpl15 Rps7 Rps20 Ost4 Chchd1 Rpl4 Rps24 Eif4e3 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Eif3m Nudt2 AC117101.1 Atp5if1 Arg1 Rpl31 Trem2 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Apobec1 Mrpl32 Rpl12 Rpl34 Eef1e1 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Eef1g Mrpl23 Coa3 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Eef1b2 Rps15 Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 Atp5mf RGD1359290 Rps13 RGD1560795 Derl3 ENSRNOG00000028243 Rpl9 Rps18 LOC100362366 AABR07072078.1 Atp5mg Rps29 LOC102555453 Dpm3 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Pigp Rpl41 Rps28 LOC103693375 LOC100909830 LOC100365810 Adssl1 Dbi Tma7 Pcbd2 LOC100365839 AABR07044509.1 AABR07028816.1 LOC100912571 Atp5f1e Rps27l LOC103690033 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07040624.1 AABR07050391.2 Rps9 AC121204.2 AC114446.1 LOC100365062 Rps21 Rpl13a"
"A",6.8175354537695e-15,29,"Cytoplasmic translation ","Rpl10a Rplp2 Rpl19 LOC100360057 Rpl36a Rpl22l1 Eif3m Rpl31 Rps23 Rpl18a Rpl18 RGD1359290 AABR07053166.1 LOC100361854 LOC108348287 Rpl36al AABR07065438.1 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 LOC100911575 LOC498555 AABR07035539.1 Tma7 AABR07050399.1 AC120310.1 AABR07050391.2 LOC100365062"
"A",1.87730849700348e-12,30,"Electron transport chain ","Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Dnajc15 Ndufb9 Cox6c Cyba Ndufb8 Cox8b Etfrf1 Uqcr11 Cox4i1 Cox6a2 Fdx2 LOC100912599 Ndufb7 Mt-nd6 Cox7c Mt-nd3 Ndufv2 Cox7a2l2 Uqcc3 LOC687508 LOC679739 LOC100911516 Cox7b Uqcr10"
"A",5.07135065144346e-11,28,"Oxidative phosphorylation ","Atp5me Atp5pd Cox7a2l Ndufa8 Ndufa7 Dnajc15 Ndufb9 Cox6c Ndufb8 Cox8b Cox4i1 Cox6a2 LOC100912599 Atp5mf Atp5mg Mt-nd6 Cox7c Mt-nd3 Ndufv2 Cox7a2l2 Uqcc3 LOC687508 LOC679739 Atp5f1e LOC100911516 Cox7b Uqcr10"
"A",6.9645383979996e-09,258,"Cellular nitrogen compound biosynthetic process ","Atp5me Rpl10a Aif1 Nupr2 Rpl21 Polr2j Rfc4 Med21 Rplp2 Mrps18c Naca Nme2 Guk1 Tnfsf4 Mpc2 Srp9 Atp5pd Sat1 Rpl23 LOC108352650 Rpl26 Nhp2 Polr3h Pam16 Cela1 Rpl19 Snf8 Churc1 LOC100911372 Rpl15 Rps7 Rps20 Batf Itgb3bp Chchd1 Rpl4 Rps24 Eif4e3 Polr2k Rpl32 Fabp4 LOC100360057 Rpl29 Ccl3 Rpl36a Rpl22l1 Rps3a Txn1 Gchfr Aamdc Pomc Eif3m Mlf1 Maff Pfdn5 Nudt2 AC117101.1 Atp5if1 Arg1 Rpl31 Trem2 Rplp1 Cks2 Rps2 Rpl27a Rpl35 Csrp3 Mrpl18 Med31 Myoz2 Rpl13 Mrpl32 Sumo1 Rpl12 Rpl34 Eef1e1 Rps12 Pclaf Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Ankrd1 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Mt3 Rpl14 Rps17 Taf10 Med11 Polr2g Rps5 Rps16 Pycard Uba52 Scand1 Eef1g Mrpl23 Ins2 Coa3 AC094246.1 Rps11 Rpl27 Crebrf LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Prdm5 Ybx1 Eef1b2 Rps15 Hopx Mrps21 Nanos1 Mrpl33 Rpl6 Rpl11 Tnfsf18 LOC100360449 Mrpl22 Atp5mf RGD1359290 Lilrb4 Rps13 RGD1560795 Rpl9 Rps18 LOC100362366 AABR07072078.1 Atp5mg Rps29 Hist2h3c2 LOC102555453 AABR07053166.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07054368.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 Myog LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 Cdyl RGD1562378 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 Commd6 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Cenpk Rpl41 LOC102553278 Cks1b Rps28 LOC103693375 LOC100909830 Hist2h4a LOC100365810 Hist2h4 Zbtb33 Hist1h4m Adssl1 Tma7 LOC108348098 Pcbd2 Ss18l2 AABR07046628.1 LOC100365839 LOC100912489 H4f3 AABR07044509.1 AC109542.1 Hist1h4b Hist1h2ao AABR07028816.1 LOC108348173 LOC100366030 LOC100912571 LOC103690013 Atp5f1e LOC100911668 AABR07054264.1 Rps27l Sub1 LOC102555217 AABR07026893.1 LOC100912564 LOC100911516 LOC103690033 Lage3 AABR07036007.1 Clec7a Rps8 AABR07050399.1 AC120310.1 Rfxap Rpl10 Psmd10 LOC100912608 AABR07050391.2 Rps9 AC121204.2 AABR07055919.2 AC114446.1 AC120291.4 LOC100365062 H1f5 Rps21 Tfec Rpl13a"
