"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",3.16518361103789e-102,154,"Ribosome ","Rpl10a Rpl21 Rplp2 Mrps18c Rpl23 LOC108352650 Rpl26 Rpl19 Rpl30 Rpl7 LOC100911372 Rpl15 Rps7 Rps20 Chchd1 Rpl4 Rps24 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a AC117101.1 Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Mrpl32 Rpl12 Rpl34 Rps12 Rps23 Rps27 Rpl28 Rps3 Rps15a LOC100362339 Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Mrpl23 Mrpl54 AC094246.1 Rps11 Rpl27 LOC687780 Rpl18 LOC100363452 AABR07066818.1 Rpl23a Rpl37a Rpl5 Rps15 Mrps21 Mrpl33 Rpl6 Rpl11 Mrps33 LOC100360449 Mrpl22 RGD1359290 Rps13 Rpl9 Rps18 LOC100362366 AC128901.1 AABR07072078.1 Rps29 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 RGD1564606 AABR07070957.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100364457 LOC100362149 LOC689899 LOC685963 LOC108348287 AABR07034639.1 Rpl36al LOC100363469 AABR07065438.1 AABR07067814.1 LOC108349682 LOC100360117 AABR07068536.1 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 LOC103690015 Rps18l1 Rpl36 AABR07027015.1 LOC100360841 AABR07007121.1 AC141489.1 Rpl37 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 AABR07071891.1 Rps19l2 AC128960.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl41 Rps28 LOC103693375 LOC100365810 Hba-a2 Rpl7a LOC100365839 AABR07044509.1 AABR07028816.1 AABR07017250.1 Rps27l LOC103692169 Mrpl50 Rps8 AABR07050399.1 AC120310.1 Rpl10 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 AC114446.1 AABR07073045.1 Rps21 Rpl13a"
"A",3.31991873711509e-48,88,"Ribosomal subunit ","Rpl10a Rplp2 Mrps18c Rpl26 Rpl19 Rpl30 Rpl7 LOC100911372 Rps20 Rps24 Rpl36a AC117101.1 Rpl31 Rps2 Rpl27a Mrpl18 Mrpl32 Rps12 Rps23 Rps3 Rps15a Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rps5 Rps16 Mrpl54 AC094246.1 Rps11 Rpl18 AABR07066818.1 Rps15 Mrps21 Mrpl33 Mrpl22 RGD1359290 AC128901.1 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 AABR07070957.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100362149 LOC108348287 AABR07034639.1 Rpl36al AABR07065438.1 AABR07067814.1 LOC100360117 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 AABR07007121.1 AC141489.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Hba-a2 Rpl7a AABR07044509.1 AABR07028816.1 AABR07017250.1 LOC103692169 Mrpl50 Rps8 AABR07050399.1 AC120310.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 AC114446.1 AABR07073045.1 Rpl13a"
"A",4.43033577207873e-44,68,"Cytosolic ribosome ","Rpl10a Rplp2 Rpl23 Rpl19 Rpl30 Rpl7 LOC100911372 Rpl15 Rps24 LOC100360057 Rpl36a AC117101.1 Rpl31 Rps12 Rps23 Rps15a LOC100911847 Rpl18a Rps5 Rps16 Uba52 AC094246.1 Rps11 Rpl27 Rpl18 AABR07066818.1 Rps15 RGD1359290 AC128901.1 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 AABR07070957.1 LOC100364116 LOC108348287 AABR07034639.1 Rpl36al AABR07065438.1 AABR07067814.1 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 AABR07007121.1 AC141489.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Hba-a2 Rpl7a AABR07044509.1 AABR07028816.1 AABR07017250.1 Rps8 AABR07050399.1 AC120310.1 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 AC114446.1 AABR07073045.1"
"A",4.9437850707219e-41,49,"Nucleosome ","H2bc1 H1f1 Hist2h3c2 H2ac20 H2bu1 RGD1562378 H2aj LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 H3c1 Hist1h3b Hist1h4m Hist2h2aa3 H2ac1 LOC100912489 H4f3 H2ac21 Hist1h4b Hist1h2ao Hist1h2ah LOC102548682 LOC100912564 LOC100910554 H2az2 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Hist1h2bl Hist1h2bo H2bc12 Hist1h2an H2bc9 LOC684773 AABR07012583.2 LOC684797 hist1h2ail2 LOC102549061 H1f5 LOC103690190 Hist1h2bd"
"A",2.46658577319168e-38,49,"DNA packaging complex ","H2bc1 H1f1 Hist2h3c2 H2ac20 H2bu1 RGD1562378 H2aj LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 H3c1 Hist1h3b Hist1h4m Hist2h2aa3 H2ac1 LOC100912489 H4f3 H2ac21 Hist1h4b Hist1h2ao Hist1h2ah LOC102548682 LOC100912564 LOC100910554 H2az2 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Hist1h2bl Hist1h2bo H2bc12 Hist1h2an H2bc9 LOC684773 AABR07012583.2 LOC684797 hist1h2ail2 LOC102549061 H1f5 LOC103690190 Hist1h2bd"
"A",2.84379374258266e-29,114,"Ribonucleoprotein complex ","Rpl10a Rpp21 Rplp2 Mrps18c Srp9 Rpl26 Nhp2 Rpl19 Rpl30 Rpl7 LOC100911372 Rps20 Naa38 Rps24 LOC100360057 Rpl36a Slirp Eif3m AC117101.1 Rpl31 Rps2 Rpl27a Mrpl18 Snrpd2 Mrpl32 Rps12 LOC687679 Rps23 Rps3 Rps15a Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rps5 Lsm7 Rps16 Ins2 Mrpl54 AC094246.1 Rps11 Snrnp25 Rpl27 Rpl18 AABR07066818.1 Ybx1 Phf5a Rps15 Mrps21 Mrpl33 Mrpl22 RGD1359290 AC128901.1 LOC102555453 AABR07053166.1 AABR07052519.1 LOC100361854 LOC100359951 AABR07070957.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100360750 ENSRNOG00000030374 LOC100364116 LOC100362149 LOC108348287 LOC498826 Snrpe LOC108349606 AABR07034639.1 Rpl36al AABR07065438.1 Snrpg AABR07067814.1 LOC100360117 LOC100362027 AABR07060145.1 Ybx1-ps3 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 AABR07007121.1 AC141489.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Lsm5 Sf3b6 Hba-a2 Rpl7a AABR07044509.1 AABR07028816.1 AABR07017250.1 LOC103690013 LOC103692169 Mrpl50 Rps8 AABR07050399.1 AC120310.1 Lsm8 AABR07050391.2 Rps9 AABR07061378.1 AC121204.2 AC114446.1 LOC100365062 AABR07073045.1 Rpl13a"
"A",4.68517824998676e-26,51,"Large ribosomal subunit ","Rpl10a Rplp2 Rpl26 Rpl19 Rpl30 Rpl7 Rpl36a Rpl31 Rpl27a Mrpl18 Mrpl32 Mrpl20 Rpl17 Rpl18a Mrpl54 Rpl18 Mrpl33 Mrpl22 RGD1359290 AC128901.1 LOC102555453 AABR07053166.1 AABR07052519.1 LOC108348287 AABR07034639.1 Rpl36al AABR07065438.1 LOC100360117 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 AABR07007121.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Mrpl52 Rpl7a AABR07028816.1 LOC103692169 Mrpl50 AABR07050399.1 AC120310.1 AABR07050391.2 AC114446.1 Rpl13a"
"A",2.16179614615182e-25,51,"Protein-DNA complex ","Gins1 Rpa3 H2bc1 H1f1 Hist2h3c2 H2ac20 H2bu1 RGD1562378 H2aj LOC684762 LOC102549173 Hist2h2be Hist2h4a Hist2h4 H3c1 Hist1h3b Hist1h4m Hist2h2aa3 H2ac1 LOC100912489 H4f3 H2ac21 Hist1h4b Hist1h2ao Hist1h2ah LOC102548682 LOC100912564 LOC100910554 H2az2 Hist2h2aa2 Hist1h2ak LOC680322 AABR07027811.2 Hist1h2bl Hist1h2bo H2bc12 Hist1h2an H2bc9 LOC684773 AABR07012583.2 LOC684797 hist1h2ail2 LOC102549061 H1f5 LOC103690190 Hist1h2bd"
"A",1.29632549520924e-22,37,"Cytosolic large ribosomal subunit ","Rpl10a Rplp2 Rpl19 Rpl30 Rpl7 Rpl36a Rpl31 Rpl18a Rpl18 RGD1359290 AC128901.1 LOC102555453 AABR07053166.1 AABR07052519.1 LOC108348287 AABR07034639.1 Rpl36al AABR07065438.1 LOC100362027 AABR07060145.1 AC099453.1 AABR07064810.1 Rpl36 AABR07027015.1 AABR07007121.1 LOC100911575 AABR07071891.1 LOC498555 AABR07026240.1 AABR07035539.1 Rpl7a AABR07028816.1 AABR07050399.1 AC120310.1 AABR07050391.2 AC114446.1"
"A",4.42966675096079e-22,37,"Small ribosomal subunit ","Mrps18c LOC100911372 Rps20 Rps24 AC117101.1 Rps2 Rps12 Rps23 Rps3 Rps15a Rpsa LOC100911847 Rps5 Rps16 AC094246.1 Rps11 AABR07066818.1 Rps15 Mrps21 LOC100361854 LOC100359951 AABR07070957.1 AABR07049329.1 AABR07042903.1 LOC100362684 LOC100364116 LOC100362149 AABR07067814.1 AC141489.1 Hba-a2 AABR07044509.1 AABR07017250.1 Rps8 Rps9 AABR07061378.1 AC121204.2 AABR07073045.1"
