"Cluster","adj.Pval","nGenes","Pathways","Genes"
"A",4.41996978082565e-84,93,"Ribosome","Rps10 Rpl10a Rpl21 Rplp0 Rpl24 Mrps18c Rpl23 LOC108352650 Rpl26 Rpl19 Rpl30 Rpl7 Rpl15 Rps7 Rps20 Rpl4 Rps24 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Mrpl18 Rpl13 Mrpl32 Rpl12 Rpl34 Rps12 Rps23 Rpl28 Rps3 Rps15a Rpsa Mrpl20 Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Mrpl23 Rps11 Rpl27 LOC687780 Rpl18 Rpl23a Rpl5 Rps15 Mrps21 Mrpl33 Rpl6 Rpl11 LOC100360449 Mrpl22 Rps25 Rps13 Rps18 LOC100362366 Rps29 LOC102555453 LOC100361854 LOC100359951 LOC685963 Rpl36al LOC100360117 LOC100362027 Rps18l1 Rpl36 LOC100360841 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 Rps19l2 Rpl41 Rps28 LOC103693375 LOC100365810 Rpl7a Rps27l Rps8 Rpl10 Rps9 Rps21 Rpl13a"
"A",5.65675773310283e-57,88,"Coronavirus disease","Rps10 Rpl10a Rpl21 Rplp0 Rpl24 Rpl23 LOC108352650 Rpl26 Rpl19 Rpl30 Rpl7 Ccl2 Casp1 Rpl15 Rps7 Rps20 Rpl4 Rps24 Rpl32 LOC100360057 Rpl29 Rpl36a Rpl22l1 Rps3a Rpl31 Rplp1 Rps2 Rpl27a Rpl35 Rpl13 Rpl12 Rpl34 Rps12 Rps23 Rpl28 Rps3 Rps15a Rpsa Rpl17 LOC100911847 Rpl18a Rpl14 Rps17 Rps5 Rps16 Uba52 Rps11 Rpl27 LOC687780 Rpl18 Rpl23a Rpl5 Rps15 Rpl6 Rpl11 LOC100360449 Rps25 Rps13 Rps18 LOC100362366 Rps29 LOC102555453 LOC100361854 LOC100359951 LOC685963 Rpl36al LOC100360117 LOC100362027 Rps18l1 Rpl36 LOC100360841 Rpl39 Rps27a ENSRNOG00000034246 LOC100911575 Rps19l2 Rpl41 Rps28 LOC103693375 LOC100365810 Fcgr2a Rpl7a Rps27l Rps8 Rpl10 Rps9 Rps21 Rpl13a"
"A",5.91483899261286e-18,30,"Systemic lupus erythematosus","H2bc1 Fcgr1a Fcgr3a H2ac20 H2bu1 RGD1562378 H2aj Hist2h2be Hist1h3b Hist1h4m Fcgr2a Hist2h2aa3 H2ac1 H2ac21 LOC108348139 LOC100910554 LOC100912564 H2az2 Hist1h2ak LOC680322 LOC102548682 Hist1h2bl Hist1h2bo H2bc12 LOC684773 LOC102549061 LOC103690190 Hist1h2bd"
"A",1.91885949570775e-14,34,"Neutrophil extracellular trap formation","Ncf4 Casp1 Cyba H2bc1 Camp Fcgr1a Fcgr3a H2ac20 H2bu1 RGD1562378 H2aj Hist2h2be Hist1h3b Hist1h4m Fcgr2a Hist2h2aa3 H2ac1 H2ac21 LOC100910554 LOC100912564 H2az2 Hist1h2ak LOC680322 LOC102548682 Hist1h2bl Clec7a Hist1h2bo H2bc12 LOC684773 LOC102549061 LOC103690190 Hist1h2bd"
"A",2.30305248065147e-14,33,"Oxidative phosphorylation","Atp5me Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Cox6c Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 LOC100912599 Ndufb2 Ndufs5 Atp5mf Ndufb7 Atp5mg Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Atp5f1e Cox7b Uqcr10"
"A",8.82250061667145e-12,31,"Alcoholism","Gngt2 LOC108349548 H2bc1 Gng10 H2ac20 H2bu1 RGD1562378 H2aj Gng13 Hist2h2be Hist1h3b Hist1h4m Hist2h2aa3 Gng11 H2ac1 H2ac21 LOC100910554 LOC100912564 H2az2 Hist1h2ak LOC680322 LOC102548682 Hist1h2bl Hist1h2bo H2bc12 LOC684773 LOC102549061 LOC103690190 Hist1h2bd"
"A",3.44280449095731e-10,35,"Diabetic cardiomyopathy","Ndufb4 Mpc2 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ncf4 Ndufb11 Ndufa6 Ndufb9 Cox6c Mpc1 Cyba Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Ins2 LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Atp5f1e Cox7b Uqcr10"
"A",4.91070037647362e-10,37,"Thermogenesis","Atp5me Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Cox6c Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Coa3 LOC100912599 Ndufb2 Ndufs5 Atp5mf Ndufb7 Atp5mg Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Ndufaf8 Cox7a2l2 Uqcrq Atp5f1e Cox7b Ndufaf2 Uqcr10 Cox14"
"A",1.96898383488447e-09,39,"Parkinson disease","Psmb1 Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ndufb11 Ndufa6 Ndufb9 Sem1 Cox6c LOC100360846 Txn1 Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Uba52 Psmb4 Tuba1c LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Rps27a ENSRNOG00000034246 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Atp5f1e Psma2 Cox7b Uqcr10"
"A",2.89397640012869e-09,39,"Prion disease","Psmb1 Ndufb4 Atp5pd Cox7a2l Ndufa4 Ndufa8 Ndufa5 Ndufa7 Ncf4 Ndufb11 Ndufa6 Ndufb9 Sem1 Cox6c Ccl5 LOC100360846 Cyba Ndufb8 Cox8b Uqcr11 Ndufa2 Cox4i1 Cox6a2 Psmb4 Tuba1c LOC100912599 Ndufb2 Ndufs5 Ndufb7 Mt-nd6 Mt-nd3 Ndufc1 Ndufv2 Cox7a2l2 Uqcrq Atp5f1e Psma2 Cox7b Uqcr10"
