Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000046319,0,0.122428809,0,0.02469242,0,0,0,0
ENSRNOG00000047964,0,0.024140437,0,0,0,0,0,0
ENSRNOG00000050370,0,0.048338216,0.102442163,0.029247712,0,0,0,0
ENSRNOG00000032365,0,0,0,0.087639052,0,0,0,0
ENSRNOG00000040300,0,0.051519972,0.145580255,0,0,0.094804506,0.104981108,0
ENSRNOG00000058808,0,0,0,0,0,0,0,0
ENSRNOG00000061316,1.303259774,0.480087808,0.876128876,0.653588615,0.68375288,0.717790011,1.793484588,0.589330661
ENSRNOG00000050129,0,0,0.133730699,0,0,0,0,0
ENSRNOG00000040316,0,0,0.231747181,0.119096809,0,0,0,0
ENSRNOG00000023659,0,0,0.095840334,0,0,0,0,0
ENSRNOG00000029897,0,0.058929697,0,0,0,0,0,0
ENSRNOG00000042852,0,0,0,0,0,0,0,0.439227638
ENSRNOG00000061806,0,0,0,0,0,0,0,0
ENSRNOG00000055877,0,0,0,0,0,0,0,0
ENSRNOG00000014303,18.76055458,12.0085347,9.578169847,7.864834117,43.22103669,38.18092681,32.49918363,35.05625055
ENSRNOG00000051899,0,0,0,0,0,0,0,0
ENSRNOG00000014330,57.23169677,43.91399681,50.94670404,35.68692931,91.74227807,96.31306147,90.79208229,98.93255789
ENSRNOG00000049505,6.521229734,5.065525187,5.706761774,5.048180467,6.324081601,6.762532885,7.016199418,8.806466505
ENSRNOG00000014916,14.55323356,7.710003364,8.677965648,4.347092344,21.82442895,19.16510469,20.27444867,19.92644466
ENSRNOG00000014996,6.892071492,6.322543464,6.830981656,3.669751814,6.269990162,7.422872921,8.219666541,5.875853145
ENSRNOG00000015239,24.1629569,19.32308549,23.29196587,21.84424428,36.29497966,35.73742438,33.89173745,35.65979387
ENSRNOG00000053710,0,0,0,0,0,0,0,0
ENSRNOG00000015552,8.106417456,3.774222917,5.303121761,4.21596231,9.631833149,11.18090977,10.77536218,11.69533103
ENSRNOG00000016041,1.303185872,0.711243606,0.233693581,0.16012944,1.496591399,0.426119411,1.38187676,0.52907236
ENSRNOG00000016054,31.18424817,19.35378031,18.12249785,7.59148855,37.62587687,42.63839892,45.69225829,41.54763123
ENSRNOG00000016381,7.262110745,4.133984764,3.555215543,3.443853507,14.9978824,12.07222339,13.30705082,12.7591534
ENSRNOG00000054005,0,0,0,0,0,0,0,0
ENSRNOG00000059137,0,0,0,0,0,0,0,0
ENSRNOG00000013160,41.32485035,16.67249462,14.39593404,8.799259779,98.41806147,85.40994291,83.48950513,73.0211392
ENSRNOG00000052788,0,0,0,0,0,0,0,0
ENSRNOG00000023549,4.309289852,4.486892945,3.048415454,0.949458255,8.528674359,6.76767103,7.693976853,6.108968499
ENSRNOG00000031859,0,0,0,0,0,0,0,0
ENSRNOG00000013351,15.45434507,9.422716126,8.895836497,5.770036817,31.46541613,26.48288125,28.72061465,25.69849224
ENSRNOG00000061755,0,3.262276062,0,0,0,0,0.949638265,0
ENSRNOG00000053182,0,0,0,0,0,0,0,0
ENSRNOG00000042741,0.698072076,0.304256133,0.184229605,0.210393622,0.419491678,0.431905191,0.9033936,0.702464023
ENSRNOG00000014258,21.84412457,12.62215385,21.06351638,14.86283451,16.56472795,17.62862053,26.4129348,15.1417305
ENSRNOG00000057302,0,0,0,0,0,0,0,0
ENSRNOG00000014290,2.34638335,1.123858258,1.337791593,1.135128333,7.544222495,4.803780988,5.788264777,5.541946288
ENSRNOG00000041566,0,0.678346292,0,0.820885783,0,0,0,0
ENSRNOG00000014450,7.876936252,4.80628556,3.906736303,2.913388035,17.88953099,17.20703808,16.86784962,12.95203797
ENSRNOG00000014852,13.79149807,10.96864373,9.73948251,7.258924502,18.531758,17.83616956,18.39265079,18.91446279
ENSRNOG00000052274,0,0,0,0,0,0,0,0
ENSRNOG00000040242,6.717055342,3.685503478,2.641269057,1.357370193,8.376896485,8.649355941,6.312643517,10.79047426
ENSRNOG00000054906,0,0,0,0,0,0,0,0
ENSRNOG00000058048,0,0,0,0,0,0,0,0
ENSRNOG00000053880,0,0,0,0,0,0,0,0
ENSRNOG00000011058,18.99563921,8.922272694,8.047156076,4.612405983,38.58828888,31.2221672,35.13050066,30.96937715
ENSRNOG00000014902,0.853418986,0.751013835,0.265267968,0.416543785,1.321285904,1.266813665,1.402797273,0.684843913
ENSRNOG00000014908,33.51866993,36.95653466,39.00916979,39.01513329,40.51563455,40.2353251,47.1751481,50.37916333
ENSRNOG00000036310,0,0,0,0,0,0,0,0
ENSRNOG00000025587,2.29160504,0.789114601,0.761850137,0.700281711,5.526827712,3.412410774,4.770285452,4.140397024
ENSRNOG00000042705,0,0,0.458810111,0,0.163236373,0.448178214,0.330858013,0
ENSRNOG00000043188,0,0.448905635,0,0.181077746,0,1.376756607,0.304908365,0
ENSRNOG00000015217,14.24977791,8.66157362,7.762610457,6.648783739,20.66473967,18.85274669,19.42761819,16.59485258
ENSRNOG00000015473,9.535235809,5.923104563,3.051006096,1.45594194,15.07284579,13.34041672,14.70955603,13.50308717
ENSRNOG00000015551,21.29038857,17.08397264,13.94938361,12.17158327,33.01191159,30.82467148,32.85253735,32.68268646
ENSRNOG00000015660,14.84528129,8.464686846,9.63757552,7.091552652,20.01216582,19.45610901,20.59687748,17.01678067
ENSRNOG00000046983,0.652565331,1.722784234,2.281912722,0.390897992,1.731975342,0,1.755239686,1.450148392
ENSRNOG00000016624,0,0,0,0,0.514690785,0.235520627,0,0
